Sample	cat16-67.trees	cat16-67.sequence13_sequence15	cat16-67.sequence01_sequence04_sequence11_sequence13_sequence15	cat16-67.sequence01_sequence04_sequence11_sequence13_sequence15_sequence03	cat16-67.sequence01_sequence04_sequence11_sequence13_sequence15_sequence03_sequence06_sequence07_sequence09_sequence14_sequence08_sequence16_sequence12_sequence10	cat16-67.sequence01_sequence04_sequence11_sequence13_sequence15_sequence03_sequence06_sequence07_sequence09_sequence14_sequence08_sequence16_sequence12_sequence10_sequence02_sequence05	cat16-67.sequence01_sequence04	cat16-67.sequence07_sequence09	cat16-67.sequence07_sequence09_sequence14	cat16-67.sequence06_sequence07_sequence09_sequence14	cat16-67.sequence08_sequence16	cat16-67.sequence08_sequence16_sequence12	cat16-67.sequence06_sequence07_sequence09_sequence14_sequence08_sequence16_sequence12	cat16-67.sequence06_sequence07_sequence09_sequence14_sequence08_sequence16_sequence12_sequence10	cat16-67.sequence02_sequence05	cat16-67.sequence01_sequence04_sequence11	
608	24.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
612	26.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
616	26.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
620	26.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
624	20.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
628	28.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
632	24.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
636	20.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
640	24.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
644	20.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
648	24.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
652	24.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
656	20.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
660	20.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
664	26.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
668	28.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
672	20.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	
676	24.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
680	24.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
