Sample	cat16-4.trees	cat16-4.sequence05_sequence13	cat16-4.sequence05_sequence13_sequence11	cat16-4.sequence05_sequence13_sequence11_sequence15	cat16-4.sequence05_sequence13_sequence11_sequence15_sequence07	cat16-4.sequence05_sequence13_sequence11_sequence15_sequence07_sequence12	cat16-4.sequence05_sequence13_sequence11_sequence15_sequence07_sequence12_sequence06	cat16-4.sequence01_sequence14_sequence04_sequence05_sequence13_sequence11_sequence15_sequence07_sequence12_sequence06	cat16-4.sequence01_sequence14_sequence04_sequence05_sequence13_sequence11_sequence15_sequence07_sequence12_sequence06_sequence02_sequence10_sequence09	cat16-4.sequence01_sequence14_sequence04_sequence05_sequence13_sequence11_sequence15_sequence07_sequence12_sequence06_sequence02_sequence10_sequence09_sequence03_sequence08_sequence16	cat16-4.sequence01_sequence14	cat16-4.sequence02_sequence10	cat16-4.sequence02_sequence10_sequence09	cat16-4.sequence08_sequence16	cat16-4.sequence03_sequence08_sequence16	cat16-4.sequence01_sequence14_sequence04	
96	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
97	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
98	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
99	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
100	28.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
101	28.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
102	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
103	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
104	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
105	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
