Sample	o.trees	o.trees.clade.0	o.trees.clade.1	o.trees.clade.2	o.trees.clade.3	
482	10.0	1.0	1.0	1.0	1.0	
483	8.0	1.0	0.0	1.0	1.0	
484	6.0	1.0	1.0	0.0	0.0	
485	6.0	1.0	0.0	1.0	0.0	
486	4.0	0.0	0.0	1.0	0.0	
487	4.0	0.0	0.0	1.0	0.0	
488	8.0	1.0	1.0	0.0	1.0	
489	8.0	1.0	1.0	0.0	1.0	
490	8.0	1.0	1.0	1.0	0.0	
491	8.0	1.0	0.0	1.0	1.0	
492	6.0	1.0	0.0	1.0	0.0	
493	6.0	0.0	0.0	1.0	1.0	
494	10.0	1.0	1.0	1.0	1.0	
495	8.0	1.0	1.0	1.0	0.0	
496	4.0	0.0	0.0	0.0	1.0	
497	4.0	0.0	0.0	0.0	1.0	
498	8.0	1.0	1.0	0.0	1.0	
499	6.0	1.0	0.0	0.0	1.0	
500	10.0	1.0	1.0	1.0	1.0	
501	2.0	0.0	0.0	0.0	0.0	
502	6.0	0.0	1.0	0.0	1.0	
503	10.0	1.0	1.0	1.0	1.0	
504	8.0	1.0	1.0	0.0	1.0	
505	8.0	1.0	1.0	0.0	1.0	
506	8.0	1.0	1.0	0.0	1.0	
507	2.0	0.0	0.0	0.0	0.0	
508	6.0	1.0	1.0	0.0	0.0	
509	8.0	1.0	1.0	1.0	0.0	
510	8.0	1.0	1.0	1.0	0.0	
511	8.0	1.0	1.0	0.0	1.0	
512	8.0	1.0	0.0	1.0	1.0	
513	6.0	1.0	0.0	1.0	0.0	
514	4.0	0.0	0.0	0.0	1.0	
515	8.0	0.0	1.0	1.0	1.0	
516	8.0	1.0	1.0	0.0	1.0	
517	8.0	1.0	1.0	0.0	1.0	
518	6.0	0.0	0.0	1.0	1.0	
519	8.0	1.0	1.0	0.0	1.0	
520	10.0	1.0	1.0	1.0	1.0	
521	6.0	0.0	0.0	1.0	1.0	
522	4.0	0.0	0.0	0.0	1.0	
523	8.0	1.0	1.0	1.0	0.0	
524	2.0	0.0	0.0	0.0	0.0	
525	8.0	1.0	1.0	1.0	0.0	
526	8.0	1.0	1.0	1.0	0.0	
527	10.0	1.0	1.0	1.0	1.0	
528	4.0	0.0	0.0	0.0	1.0	
529	10.0	1.0	1.0	1.0	1.0	
530	8.0	1.0	0.0	1.0	1.0	
531	6.0	0.0	0.0	1.0	1.0	
532	4.0	0.0	0.0	0.0	1.0	
533	8.0	1.0	1.0	0.0	1.0	
534	10.0	1.0	1.0	1.0	1.0	
535	6.0	0.0	0.0	1.0	1.0	
536	10.0	1.0	1.0	1.0	1.0	
537	10.0	1.0	1.0	1.0	1.0	
538	10.0	1.0	1.0	1.0	1.0	
539	6.0	1.0	1.0	0.0	0.0	
540	6.0	1.0	0.0	0.0	1.0	
541	8.0	1.0	1.0	0.0	1.0	
542	8.0	1.0	0.0	1.0	1.0	
543	8.0	1.0	1.0	0.0	1.0	
544	8.0	1.0	0.0	1.0	1.0	
545	8.0	1.0	1.0	0.0	1.0	
546	8.0	1.0	1.0	0.0	1.0	
547	4.0	1.0	0.0	0.0	0.0	
548	8.0	1.0	1.0	0.0	1.0	
549	10.0	1.0	1.0	1.0	1.0	
550	8.0	1.0	0.0	1.0	1.0	
551	10.0	1.0	1.0	1.0	1.0	
552	10.0	1.0	1.0	1.0	1.0	
553	8.0	0.0	1.0	1.0	1.0	
554	8.0	1.0	0.0	1.0	1.0	
555	2.0	0.0	0.0	0.0	0.0	
556	10.0	1.0	1.0	1.0	1.0	
