Sample	cat16-62.trees	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence08	cat16-62.sequence01_sequence05_sequence09_sequence03	cat16-62.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-62.sequence07_sequence15	cat16-62.sequence14_sequence11_sequence16	cat16-62.sequence14_sequence11_sequence02	cat16-62.sequence16_sequence02	cat16-62.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence06_sequence08	
276	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
277	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
278	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
279	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
280	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
281	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
282	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
283	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
284	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
285	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	
286	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
287	28.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
288	28.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
289	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
290	30.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
291	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
292	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
293	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
294	26.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
