Sample	cat16-31.trees	cat16-31.sequence04_sequence14_sequence12_sequence16_sequence02_sequence08	cat16-31.sequence01_sequence05_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-31.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-31.sequence14_sequence16_sequence02	
353	28.0	0.0	1.0	0.0	1.0	
354	28.0	0.0	1.0	0.0	1.0	
355	28.0	0.0	1.0	0.0	1.0	
356	28.0	1.0	0.0	0.0	1.0	
357	28.0	0.0	1.0	0.0	1.0	
358	28.0	0.0	1.0	0.0	1.0	
359	28.0	0.0	1.0	0.0	1.0	
360	30.0	0.0	0.0	1.0	1.0	
361	30.0	0.0	0.0	1.0	1.0	
362	30.0	0.0	0.0	1.0	1.0	
363	28.0	0.0	1.0	0.0	1.0	
364	28.0	0.0	1.0	0.0	1.0	
365	28.0	0.0	1.0	0.0	1.0	
366	28.0	1.0	0.0	0.0	1.0	
367	30.0	0.0	0.0	1.0	1.0	
368	28.0	1.0	0.0	0.0	1.0	
369	28.0	0.0	1.0	0.0	1.0	
370	28.0	0.0	1.0	0.0	1.0	
371	28.0	0.0	1.0	0.0	1.0	
372	30.0	0.0	0.0	1.0	1.0	
373	28.0	1.0	0.0	0.0	1.0	
374	30.0	0.0	0.0	1.0	1.0	
375	28.0	0.0	1.0	0.0	1.0	
376	30.0	0.0	0.0	1.0	1.0	
377	30.0	0.0	0.0	1.0	1.0	
378	30.0	0.0	0.0	1.0	1.0	
379	28.0	0.0	1.0	0.0	1.0	
380	28.0	0.0	1.0	0.0	1.0	
381	28.0	0.0	1.0	0.0	1.0	
382	28.0	0.0	1.0	0.0	1.0	
383	30.0	0.0	0.0	1.0	1.0	
384	28.0	0.0	1.0	0.0	1.0	
385	28.0	0.0	1.0	0.0	1.0	
386	30.0	0.0	0.0	1.0	1.0	
387	30.0	0.0	0.0	1.0	1.0	
388	30.0	0.0	0.0	1.0	1.0	
389	28.0	0.0	1.0	0.0	1.0	
