Sample	cat16-85.trees	cat16-85.sequence09_sequence06_sequence08_sequence15	cat16-85.sequence01_sequence04_sequence12_sequence13_sequence02_sequence10	cat16-85.sequence14_sequence11_sequence16	cat16-85.sequence05_sequence14_sequence07_sequence11_sequence03	cat16-85.sequence05_sequence07_sequence16_sequence03	
331	30.0	1.0	1.0	1.0	0.0	0.0	
332	28.0	1.0	1.0	0.0	1.0	0.0	
333	28.0	1.0	1.0	0.0	0.0	1.0	
334	28.0	1.0	1.0	0.0	1.0	0.0	
335	28.0	1.0	1.0	0.0	1.0	0.0	
336	28.0	1.0	1.0	0.0	1.0	0.0	
337	28.0	1.0	1.0	0.0	1.0	0.0	
338	28.0	1.0	1.0	0.0	1.0	0.0	
339	30.0	1.0	1.0	1.0	0.0	0.0	
340	30.0	1.0	1.0	1.0	0.0	0.0	
341	28.0	1.0	1.0	0.0	1.0	0.0	
342	30.0	1.0	1.0	1.0	0.0	0.0	
343	30.0	1.0	1.0	1.0	0.0	0.0	
344	28.0	1.0	1.0	0.0	1.0	0.0	
345	28.0	1.0	1.0	0.0	1.0	0.0	
346	28.0	1.0	1.0	0.0	1.0	0.0	
347	30.0	1.0	1.0	1.0	0.0	0.0	
348	28.0	1.0	1.0	0.0	1.0	0.0	
349	28.0	1.0	1.0	0.0	0.0	1.0	
350	28.0	1.0	1.0	0.0	1.0	0.0	
351	28.0	1.0	1.0	0.0	1.0	0.0	
352	30.0	1.0	1.0	1.0	0.0	0.0	
353	28.0	1.0	1.0	0.0	1.0	0.0	
354	30.0	1.0	1.0	1.0	0.0	0.0	
355	28.0	1.0	1.0	0.0	0.0	1.0	
356	28.0	1.0	1.0	0.0	0.0	1.0	
357	30.0	1.0	1.0	1.0	0.0	0.0	
358	26.0	0.0	1.0	0.0	0.0	1.0	
359	28.0	1.0	1.0	0.0	1.0	0.0	
360	28.0	1.0	1.0	0.0	1.0	0.0	
361	28.0	1.0	1.0	0.0	1.0	0.0	
362	28.0	1.0	1.0	0.0	1.0	0.0	
363	28.0	1.0	1.0	0.0	1.0	0.0	
364	28.0	1.0	1.0	0.0	0.0	1.0	
365	30.0	1.0	1.0	1.0	0.0	0.0	
366	28.0	1.0	1.0	0.0	1.0	0.0	
367	30.0	1.0	1.0	1.0	0.0	0.0	
