Sample	cat16-72.trees	cat16-72.sequence01_sequence07_sequence16_sequence09_sequence08	cat16-72.sequence04_sequence14_sequence11_sequence12_sequence13_sequence03_sequence10_sequence15	cat16-72.sequence01_sequence05_sequence14_sequence07_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-72.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
516	28.0	1.0	1.0	0.0	0.0	
517	30.0	1.0	0.0	0.0	1.0	
518	28.0	1.0	1.0	0.0	0.0	
519	28.0	1.0	1.0	0.0	0.0	
520	28.0	1.0	0.0	1.0	0.0	
521	30.0	1.0	0.0	0.0	1.0	
522	28.0	1.0	1.0	0.0	0.0	
523	28.0	1.0	0.0	1.0	0.0	
524	28.0	1.0	0.0	1.0	0.0	
525	28.0	1.0	1.0	0.0	0.0	
526	30.0	1.0	0.0	0.0	1.0	
527	30.0	1.0	0.0	0.0	1.0	
528	30.0	1.0	0.0	0.0	1.0	
529	30.0	1.0	0.0	0.0	1.0	
530	28.0	1.0	1.0	0.0	0.0	
531	30.0	1.0	0.0	0.0	1.0	
532	28.0	1.0	0.0	1.0	0.0	
533	28.0	1.0	0.0	1.0	0.0	
534	28.0	1.0	1.0	0.0	0.0	
535	28.0	1.0	1.0	0.0	0.0	
536	30.0	1.0	0.0	0.0	1.0	
537	30.0	1.0	0.0	0.0	1.0	
538	28.0	1.0	0.0	1.0	0.0	
539	30.0	1.0	0.0	0.0	1.0	
540	28.0	1.0	1.0	0.0	0.0	
541	26.0	0.0	0.0	1.0	0.0	
542	28.0	1.0	1.0	0.0	0.0	
543	28.0	1.0	1.0	0.0	0.0	
544	28.0	1.0	0.0	1.0	0.0	
545	28.0	1.0	0.0	1.0	0.0	
546	28.0	1.0	1.0	0.0	0.0	
547	28.0	1.0	1.0	0.0	0.0	
548	28.0	1.0	1.0	0.0	0.0	
549	28.0	1.0	0.0	1.0	0.0	
550	28.0	1.0	0.0	1.0	0.0	
551	28.0	1.0	0.0	1.0	0.0	
552	28.0	1.0	0.0	1.0	0.0	
553	28.0	1.0	1.0	0.0	0.0	
554	30.0	1.0	0.0	0.0	1.0	
555	28.0	1.0	1.0	0.0	0.0	
556	28.0	1.0	1.0	0.0	0.0	
557	28.0	1.0	0.0	1.0	0.0	
558	28.0	1.0	1.0	0.0	0.0	
559	28.0	1.0	1.0	0.0	0.0	
