Sample	cat16-0.trees	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16	cat16-0.sequence01_sequence05_sequence04_sequence14	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09	cat16-0.sequence03_sequence10	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06	cat16-0.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence08_sequence15	cat16-0.sequence03_sequence06	cat16-0.sequence10_sequence06	
285	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
286	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
287	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
288	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
289	28.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
290	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
291	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
292	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
293	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
294	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
295	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
296	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
297	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
298	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
299	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
300	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
301	28.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	
302	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
303	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
304	28.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
305	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
306	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
307	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
308	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
309	28.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
310	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
311	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
312	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
313	30.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
