Sample	cat16-26.trees	cat16-26.sequence11_sequence12_sequence09	cat16-26.sequence14_sequence13_sequence16_sequence03_sequence06_sequence15	cat16-26.sequence01_sequence12	cat16-26.sequence14_sequence13_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-26.sequence16_sequence02_sequence03_sequence10_sequence08	
471	26.0	0.0	0.0	1.0	1.0	0.0	
472	28.0	1.0	0.0	0.0	1.0	0.0	
473	28.0	0.0	1.0	1.0	0.0	0.0	
474	30.0	1.0	1.0	0.0	0.0	0.0	
475	28.0	0.0	1.0	1.0	0.0	0.0	
476	28.0	1.0	0.0	0.0	0.0	1.0	
477	30.0	1.0	1.0	0.0	0.0	0.0	
478	28.0	1.0	0.0	0.0	0.0	1.0	
479	30.0	1.0	1.0	0.0	0.0	0.0	
480	30.0	1.0	1.0	0.0	0.0	0.0	
481	28.0	1.0	0.0	0.0	0.0	1.0	
482	28.0	0.0	1.0	1.0	0.0	0.0	
483	28.0	1.0	0.0	0.0	1.0	0.0	
484	28.0	1.0	0.0	0.0	1.0	0.0	
485	30.0	1.0	1.0	0.0	0.0	0.0	
486	30.0	1.0	1.0	0.0	0.0	0.0	
487	30.0	1.0	1.0	0.0	0.0	0.0	
488	30.0	1.0	1.0	0.0	0.0	0.0	
