Sample	cat16-77.trees	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence16_sequence09_sequence15	cat16-77.sequence01_sequence16	cat16-77.sequence05_sequence11_sequence12_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence09_sequence15	cat16-77.sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-77.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
155	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
156	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
157	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
158	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
159	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
160	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
161	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
162	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
163	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
164	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
165	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
166	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
167	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
168	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
169	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
170	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
171	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
172	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
173	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
174	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
175	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
176	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
177	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
178	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
179	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
180	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
181	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
182	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
183	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
184	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
185	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
186	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
187	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
188	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
189	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
190	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
191	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
192	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
193	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
194	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
195	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
196	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
197	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
198	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
199	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
200	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
201	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
202	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
203	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
204	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
205	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
206	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
207	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
208	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
209	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
210	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
211	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
