Sample	cat16-74.trees	cat16-74.sequence01_sequence04_sequence14_sequence11_sequence12_sequence03_sequence10	cat16-74.sequence04_sequence14_sequence12_sequence02	cat16-74.sequence11_sequence10	cat16-74.sequence13_sequence08_sequence15	cat16-74.sequence01_sequence03_sequence10	cat16-74.sequence01_sequence11_sequence03	cat16-74.sequence01_sequence11_sequence02_sequence03_sequence10	
181	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
182	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
183	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
184	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
185	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
186	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
187	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
188	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
189	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
190	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
191	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
192	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
193	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
194	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
195	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
196	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
197	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
198	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
199	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
200	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
201	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
202	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
203	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
204	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
205	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
206	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
207	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
208	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
209	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
210	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
211	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
212	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
213	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
214	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
215	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
216	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
217	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
218	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
219	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
220	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
221	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
222	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
223	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
224	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
225	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
226	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
227	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
228	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
229	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
230	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
231	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
232	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
