Sample	cat16-61.trees	cat16-61.sequence16_sequence09_sequence10_sequence08_sequence15	cat16-61.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence06	cat16-61.sequence01_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-61.sequence13_sequence02_sequence09_sequence03_sequence15	cat16-61.sequence13_sequence16_sequence02_sequence03_sequence10_sequence08	cat16-61.sequence04_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
382	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
383	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
384	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
385	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
386	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
387	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
388	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
389	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
390	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
391	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
392	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
393	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
394	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
395	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
396	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
397	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
398	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
399	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
400	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
401	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
402	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
403	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
404	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
405	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
