Sample	cat16-73.trees	cat16-73.sequence07_sequence13_sequence16_sequence09_sequence10_sequence15	cat16-73.sequence13_sequence16_sequence02_sequence09_sequence15	cat16-73.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-73.sequence07_sequence02_sequence10	cat16-73.sequence01_sequence04_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-73.sequence05_sequence14_sequence11_sequence12_sequence06_sequence08	cat16-73.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
202	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
203	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
204	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
205	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
206	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
207	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
208	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
209	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
210	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
211	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
212	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
213	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
214	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
215	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
216	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
217	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
218	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
219	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
220	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
221	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
222	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
223	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
224	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
225	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
226	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
227	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
228	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
229	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
230	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
231	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
232	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
233	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
234	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
235	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
236	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
237	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
238	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
239	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
240	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
241	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
242	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
243	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
244	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
245	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
246	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
247	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
248	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
249	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
250	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
251	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
252	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
253	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
254	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
255	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
256	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
257	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
258	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
259	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
260	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
261	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
262	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
263	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
264	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
265	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
266	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
267	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
268	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
269	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
270	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
271	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
272	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
273	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
274	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
275	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
276	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
277	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
278	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
279	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
280	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
281	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
282	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
283	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
284	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
285	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
286	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
287	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
288	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
289	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
290	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
291	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
292	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
293	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	
294	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
295	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
296	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
297	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
298	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
299	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
300	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
301	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
302	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
303	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
304	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
305	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
306	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
307	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
308	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
309	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
310	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
311	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
312	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
313	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
314	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
315	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
316	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
317	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
318	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
319	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
320	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
321	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
322	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
323	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
324	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
325	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
326	28.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
327	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
328	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
329	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
330	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
331	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
332	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
333	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
334	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
335	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
336	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
337	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
338	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
339	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
340	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
341	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
342	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
343	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
344	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
345	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
346	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
347	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
348	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
349	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
350	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
