Sample	cat16-34.trees	cat16-34.sequence01_sequence04_sequence11_sequence13_sequence10	cat16-34.sequence05_sequence11_sequence09_sequence03_sequence08_sequence15	cat16-34.sequence12_sequence06	cat16-34.sequence07_sequence16	cat16-34.sequence12_sequence02	cat16-34.sequence02_sequence06	cat16-34.sequence01_sequence05_sequence04_sequence13_sequence09_sequence03_sequence10_sequence08_sequence15	
226	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
227	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
228	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
229	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
230	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
231	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
232	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
233	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
234	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
235	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
236	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
237	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
238	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
239	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
240	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
241	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
242	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
243	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
244	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
245	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
246	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
247	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
248	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
249	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
250	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
251	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
252	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
253	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
254	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
255	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
256	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
257	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
258	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
259	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
260	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
261	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
262	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
263	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
264	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
265	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
266	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
267	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
268	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
269	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
270	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
271	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
272	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
273	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
274	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
275	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
276	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
277	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
278	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
279	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
280	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
281	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
282	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
283	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
284	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
285	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
286	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
287	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
288	26.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
289	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
290	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
291	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
292	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
293	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
