Sample	cat16-93.trees	cat16-93.sequence05_sequence04_sequence07_sequence03	cat16-93.sequence05_sequence04_sequence11_sequence13_sequence03	cat16-93.sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08	cat16-93.sequence07_sequence11_sequence13	cat16-93.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-93.sequence01_sequence14_sequence16_sequence10_sequence08_sequence15	
327	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
328	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
329	26.0	0.0	1.0	0.0	0.0	0.0	1.0	
330	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
331	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
332	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
333	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
334	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
335	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
336	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
337	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
338	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
339	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
340	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
341	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
342	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
343	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
344	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
345	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
346	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
347	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
348	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
349	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
350	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
351	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
352	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
353	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
354	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
355	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
356	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
357	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
358	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
359	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
360	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
361	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
362	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
363	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
364	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
365	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
366	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
367	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
368	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
369	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
370	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
371	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
372	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
373	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
374	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
375	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
376	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
377	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
378	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
379	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
380	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
381	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
382	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
383	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
384	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
385	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
386	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
387	26.0	0.0	0.0	0.0	1.0	1.0	0.0	
388	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
389	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
390	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
391	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
392	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
393	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
394	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
395	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
396	28.0	1.0	0.0	0.0	0.0	1.0	0.0	
397	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
398	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
399	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
400	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
401	28.0	0.0	1.0	1.0	0.0	0.0	0.0	
402	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
403	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
404	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
405	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
406	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
407	30.0	1.0	0.0	1.0	0.0	0.0	0.0	
