Sample	cat16-14.trees	cat16-14.sequence04_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence10	cat16-14.sequence05_sequence07_sequence16_sequence02_sequence09_sequence06_sequence08	cat16-14.sequence01_sequence04_sequence14_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence13_sequence10_sequence15	cat16-14.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence15	cat16-14.sequence14_sequence13	cat16-14.sequence01_sequence15	cat16-14.sequence16_sequence02	cat16-14.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
194	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
195	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
196	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
197	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
198	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
199	28.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
200	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
201	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
202	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
203	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
204	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
205	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
206	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
207	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
208	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
209	24.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
210	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
211	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
212	22.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
213	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
214	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
215	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
216	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
217	30.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
218	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
219	28.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
220	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
221	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
222	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
223	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
224	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
225	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
226	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
227	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
228	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
229	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
230	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
231	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
232	28.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
233	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
234	28.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
235	26.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
236	28.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
