Sample	cat16-17.trees	cat16-17.sequence11_sequence12_sequence13_sequence09_sequence03_sequence08	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence16_sequence02_sequence10_sequence06_sequence15	cat16-17.sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-17.sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence08	cat16-17.sequence01_sequence04_sequence02_sequence15	cat16-17.sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-17.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence09_sequence03_sequence08_sequence15	cat16-17.sequence05_sequence14_sequence16_sequence02_sequence10_sequence06	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-17.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence08_sequence15	
135	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
136	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
137	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
138	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
139	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
140	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
141	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
142	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
143	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
144	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
145	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
146	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
147	26.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
148	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
149	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
150	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
151	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
152	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
153	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
154	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
155	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
156	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
157	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
158	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
159	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
160	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
161	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
162	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
163	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
164	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
165	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
166	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
167	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
168	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
169	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
170	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
171	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
172	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
173	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
174	26.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	
175	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
176	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
177	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
178	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
179	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
180	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
181	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
182	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
183	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
184	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
185	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
186	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
187	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
188	26.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
189	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
190	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
191	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
192	26.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
193	28.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	
194	28.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
195	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
196	30.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
