Sample	cat16-95.trees	cat16-95.sequence14_sequence13_sequence09	cat16-95.sequence14_sequence13_sequence09_sequence03_sequence08	cat16-95.sequence05_sequence04_sequence14	cat16-95.sequence05_sequence04_sequence03_sequence08	cat16-95.sequence05_sequence04_sequence03	cat16-95.sequence03_sequence08	cat16-95.sequence05_sequence04_sequence14_sequence13_sequence09	cat16-95.sequence05_sequence04_sequence14_sequence13_sequence09_sequence08	cat16-95.sequence05_sequence04_sequence14_sequence13_sequence09_sequence03	cat16-95.sequence05_sequence04_sequence13_sequence09	
206	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
207	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
208	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
209	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
210	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
211	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
212	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
213	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
214	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
215	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
216	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
217	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
218	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
219	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
220	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
221	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
222	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
223	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
224	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
225	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
226	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
227	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
228	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
229	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
230	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
231	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
232	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
233	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
234	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
235	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
236	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
237	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
238	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
239	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
240	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
241	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
242	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
243	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
244	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
245	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
246	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
247	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
248	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
249	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
250	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
251	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
252	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
253	26.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
