Sample	cat16-71.trees	cat16-71.sequence01_sequence11_sequence13_sequence16_sequence09_sequence03_sequence15	cat16-71.sequence05_sequence04_sequence14_sequence07_sequence12_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-71.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	
582	30.0	0.0	0.0	1.0	
583	28.0	1.0	0.0	0.0	
584	28.0	1.0	0.0	0.0	
585	30.0	0.0	0.0	1.0	
586	28.0	1.0	0.0	0.0	
587	28.0	0.0	1.0	0.0	
588	30.0	0.0	0.0	1.0	
589	30.0	0.0	0.0	1.0	
590	30.0	0.0	0.0	1.0	
591	30.0	0.0	0.0	1.0	
592	30.0	0.0	0.0	1.0	
593	30.0	0.0	0.0	1.0	
594	28.0	0.0	1.0	0.0	
595	30.0	0.0	0.0	1.0	
596	28.0	1.0	0.0	0.0	
597	28.0	1.0	0.0	0.0	
598	28.0	1.0	0.0	0.0	
599	30.0	0.0	0.0	1.0	
600	30.0	0.0	0.0	1.0	
601	28.0	1.0	0.0	0.0	
602	30.0	0.0	0.0	1.0	
603	30.0	0.0	0.0	1.0	
604	30.0	0.0	0.0	1.0	
605	28.0	1.0	0.0	0.0	
606	30.0	0.0	0.0	1.0	
607	30.0	0.0	0.0	1.0	
608	28.0	1.0	0.0	0.0	
609	28.0	1.0	0.0	0.0	
610	30.0	0.0	0.0	1.0	
611	30.0	0.0	0.0	1.0	
612	28.0	1.0	0.0	0.0	
613	28.0	0.0	1.0	0.0	
614	28.0	1.0	0.0	0.0	
615	30.0	0.0	0.0	1.0	
616	28.0	0.0	1.0	0.0	
617	28.0	0.0	1.0	0.0	
618	28.0	1.0	0.0	0.0	
619	28.0	0.0	1.0	0.0	
620	28.0	1.0	0.0	0.0	
621	28.0	1.0	0.0	0.0	
622	28.0	1.0	0.0	0.0	
623	30.0	0.0	0.0	1.0	
624	30.0	0.0	0.0	1.0	
625	28.0	1.0	0.0	0.0	
626	28.0	1.0	0.0	0.0	
627	28.0	1.0	0.0	0.0	
628	28.0	0.0	1.0	0.0	
629	28.0	1.0	0.0	0.0	
630	28.0	1.0	0.0	0.0	
631	30.0	0.0	0.0	1.0	
632	30.0	0.0	0.0	1.0	
633	28.0	1.0	0.0	0.0	
634	30.0	0.0	0.0	1.0	
635	28.0	1.0	0.0	0.0	
636	30.0	0.0	0.0	1.0	
637	30.0	0.0	0.0	1.0	
638	30.0	0.0	0.0	1.0	
639	30.0	0.0	0.0	1.0	
640	30.0	0.0	0.0	1.0	
641	28.0	0.0	1.0	0.0	
642	28.0	0.0	1.0	0.0	
643	28.0	1.0	0.0	0.0	
644	28.0	1.0	0.0	0.0	
645	28.0	1.0	0.0	0.0	
646	30.0	0.0	0.0	1.0	
647	30.0	0.0	0.0	1.0	
648	30.0	0.0	0.0	1.0	
649	30.0	0.0	0.0	1.0	
650	28.0	0.0	1.0	0.0	
651	28.0	1.0	0.0	0.0	
652	30.0	0.0	0.0	1.0	
653	28.0	1.0	0.0	0.0	
654	28.0	1.0	0.0	0.0	
655	30.0	0.0	0.0	1.0	
656	30.0	0.0	0.0	1.0	
657	30.0	0.0	0.0	1.0	
658	30.0	0.0	0.0	1.0	
659	30.0	0.0	0.0	1.0	
660	30.0	0.0	0.0	1.0	
661	30.0	0.0	0.0	1.0	
662	28.0	0.0	1.0	0.0	
663	30.0	0.0	0.0	1.0	
664	30.0	0.0	0.0	1.0	
665	30.0	0.0	0.0	1.0	
666	30.0	0.0	0.0	1.0	
