Sample	cat16-9.trees	cat16-9.sequence01_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10	cat16-9.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-9.sequence14_sequence02_sequence03_sequence06_sequence15	cat16-9.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence08	
341	30.0	1.0	0.0	1.0	0.0	
342	30.0	1.0	0.0	1.0	0.0	
343	28.0	1.0	1.0	0.0	0.0	
344	30.0	1.0	0.0	1.0	0.0	
345	28.0	1.0	0.0	0.0	1.0	
346	30.0	1.0	0.0	1.0	0.0	
347	30.0	1.0	0.0	1.0	0.0	
348	30.0	1.0	0.0	1.0	0.0	
349	30.0	1.0	0.0	1.0	0.0	
350	30.0	1.0	0.0	1.0	0.0	
351	30.0	1.0	0.0	1.0	0.0	
352	28.0	1.0	0.0	0.0	1.0	
353	28.0	1.0	0.0	0.0	1.0	
354	30.0	1.0	0.0	1.0	0.0	
355	28.0	1.0	1.0	0.0	0.0	
356	30.0	1.0	0.0	1.0	0.0	
357	28.0	1.0	0.0	0.0	1.0	
358	28.0	1.0	0.0	0.0	1.0	
359	28.0	1.0	1.0	0.0	0.0	
360	30.0	1.0	0.0	1.0	0.0	
361	30.0	1.0	0.0	1.0	0.0	
362	28.0	1.0	1.0	0.0	0.0	
363	28.0	1.0	0.0	0.0	1.0	
364	30.0	1.0	0.0	1.0	0.0	
365	30.0	1.0	0.0	1.0	0.0	
366	30.0	1.0	0.0	1.0	0.0	
367	30.0	1.0	0.0	1.0	0.0	
368	30.0	1.0	0.0	1.0	0.0	
369	30.0	1.0	0.0	1.0	0.0	
370	30.0	1.0	0.0	1.0	0.0	
371	30.0	1.0	0.0	1.0	0.0	
372	30.0	1.0	0.0	1.0	0.0	
373	30.0	1.0	0.0	1.0	0.0	
374	28.0	1.0	1.0	0.0	0.0	
