Sample	cat16-52.trees	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
248	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
249	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
250	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
251	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
252	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
253	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
254	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
255	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
256	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
257	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
258	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
259	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
260	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
261	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
262	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
263	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
264	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
265	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
266	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
267	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
268	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
269	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
270	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
271	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
272	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
273	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
274	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
275	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
276	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
277	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
278	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
279	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
