Sample	cat16-39.trees	cat16-39.sequence04_sequence11_sequence16_sequence03	cat16-39.sequence01_sequence11_sequence12_sequence13_sequence09_sequence06_sequence08_sequence15	cat16-39.sequence01_sequence04_sequence12_sequence13_sequence16_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-39.sequence05_sequence07_sequence02_sequence10	cat16-39.sequence05_sequence14_sequence07_sequence02_sequence10	cat16-39.sequence05_sequence14_sequence02_sequence10	cat16-39.sequence14_sequence07	cat16-39.sequence12_sequence06	cat16-39.sequence01_sequence12	cat16-39.sequence01_sequence06	
158	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
159	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
160	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
161	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
162	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
163	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
164	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
165	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
166	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
167	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
168	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
169	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
170	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
171	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
172	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
173	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
174	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
175	26.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
176	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
177	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
178	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
179	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
180	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
181	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
182	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
183	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
184	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
185	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
186	24.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
187	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
188	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
189	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
190	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
191	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
192	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
193	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
194	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
195	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
196	24.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
197	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
198	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
199	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
200	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
201	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
202	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
203	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
204	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
205	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
