Sample	cat16-5.trees	cat16-5.sequence09_sequence08	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence12_sequence02_sequence15	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence12_sequence13_sequence02_sequence10_sequence15	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence12_sequence13_sequence02_sequence10_sequence06_sequence15	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence12_sequence13_sequence02_sequence06_sequence15	cat16-5.sequence05_sequence11_sequence16_sequence09_sequence08	cat16-5.sequence01_sequence04_sequence14_sequence07_sequence13_sequence02_sequence15	cat16-5.sequence05_sequence16_sequence09	cat16-5.sequence10_sequence06	cat16-5.sequence12_sequence13	cat16-5.sequence11_sequence03	cat16-5.sequence05_sequence16_sequence08	
203	26.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	
204	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
205	26.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
206	26.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
207	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
208	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
209	24.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
210	26.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
211	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
212	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
213	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
214	24.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
215	28.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
216	24.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
217	26.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	
