Sample	cat16-27.trees	cat16-27.sequence04_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence14_sequence02_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence16_sequence02_sequence09_sequence10	cat16-27.sequence01_sequence07_sequence03_sequence08	cat16-27.sequence01_sequence07_sequence11_sequence12_sequence13_sequence03_sequence06_sequence08_sequence15	cat16-27.sequence14_sequence16	cat16-27.sequence01_sequence07_sequence12_sequence03_sequence06	
280	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
281	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
282	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
283	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
284	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
285	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
286	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
287	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
288	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
289	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
290	28.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
291	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
292	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
293	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
294	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
295	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
296	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
297	26.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	
298	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
299	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
300	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
301	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
302	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
303	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
304	26.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
305	26.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
306	26.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	
307	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
308	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
309	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
310	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
311	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
312	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
313	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
314	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
315	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
316	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
317	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
318	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
319	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
320	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
321	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
322	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
323	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
324	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
325	26.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
326	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
327	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
328	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
329	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
330	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
331	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
332	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
333	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
334	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
335	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
336	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
337	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
338	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
339	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
340	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
341	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
342	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
343	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
344	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
345	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
346	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
347	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
348	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
349	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
350	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
351	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
352	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
353	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
354	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
355	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
356	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
357	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
358	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
359	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
360	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
361	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
362	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
363	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
364	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
365	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
