Sample	cat16-92.trees	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence16_sequence02_sequence03_sequence06	cat16-92.sequence04_sequence14_sequence02_sequence03_sequence10_sequence06	cat16-92.sequence05_sequence11_sequence12_sequence13_sequence16_sequence09_sequence08_sequence15	cat16-92.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-92.sequence01_sequence07_sequence10	cat16-92.sequence04_sequence14_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
245	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
246	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
247	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
248	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
249	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
250	28.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
251	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
252	28.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
253	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
254	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
255	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
256	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
257	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
258	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
259	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
260	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
261	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
262	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
263	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
264	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
265	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
266	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
267	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
268	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
269	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
270	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
271	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
272	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
273	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
274	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
275	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
276	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
277	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
278	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
279	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
280	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
281	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
282	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
283	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
284	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
285	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
286	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
287	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
288	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
289	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
290	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
291	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
292	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
293	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
294	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
295	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
296	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
297	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
298	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
299	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
300	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
