Sample	cat16-10.trees	cat16-10.sequence01_sequence04_sequence13_sequence16_sequence15	cat16-10.sequence12_sequence09_sequence06	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
300	28.0	1.0	1.0	0.0	1.0	0.0	
301	30.0	1.0	1.0	0.0	0.0	1.0	
302	30.0	1.0	1.0	0.0	0.0	1.0	
303	30.0	1.0	1.0	0.0	0.0	1.0	
304	30.0	1.0	1.0	0.0	0.0	1.0	
305	28.0	1.0	1.0	0.0	1.0	0.0	
306	28.0	1.0	1.0	0.0	1.0	0.0	
307	30.0	1.0	1.0	0.0	0.0	1.0	
308	30.0	1.0	1.0	0.0	0.0	1.0	
309	28.0	1.0	1.0	1.0	0.0	0.0	
310	30.0	1.0	1.0	0.0	0.0	1.0	
311	28.0	1.0	1.0	0.0	1.0	0.0	
312	28.0	1.0	1.0	0.0	1.0	0.0	
313	28.0	1.0	1.0	1.0	0.0	0.0	
314	28.0	1.0	1.0	0.0	1.0	0.0	
315	28.0	1.0	1.0	0.0	1.0	0.0	
316	28.0	1.0	1.0	0.0	1.0	0.0	
317	28.0	1.0	1.0	1.0	0.0	0.0	
318	28.0	1.0	1.0	0.0	1.0	0.0	
319	30.0	1.0	1.0	0.0	0.0	1.0	
320	30.0	1.0	1.0	0.0	0.0	1.0	
321	28.0	1.0	1.0	0.0	1.0	0.0	
322	30.0	1.0	1.0	0.0	0.0	1.0	
323	28.0	1.0	1.0	0.0	1.0	0.0	
324	30.0	1.0	1.0	0.0	0.0	1.0	
325	30.0	1.0	1.0	0.0	0.0	1.0	
326	30.0	1.0	1.0	0.0	0.0	1.0	
327	30.0	1.0	1.0	0.0	0.0	1.0	
328	30.0	1.0	1.0	0.0	0.0	1.0	
329	30.0	1.0	1.0	0.0	0.0	1.0	
330	28.0	1.0	1.0	0.0	1.0	0.0	
331	30.0	1.0	1.0	0.0	0.0	1.0	
332	30.0	1.0	1.0	0.0	0.0	1.0	
333	30.0	1.0	1.0	0.0	0.0	1.0	
334	28.0	1.0	1.0	1.0	0.0	0.0	
335	28.0	1.0	1.0	0.0	1.0	0.0	
336	30.0	1.0	1.0	0.0	0.0	1.0	
337	28.0	1.0	1.0	0.0	1.0	0.0	
338	28.0	1.0	1.0	1.0	0.0	0.0	
339	30.0	1.0	1.0	0.0	0.0	1.0	
340	30.0	1.0	1.0	0.0	0.0	1.0	
341	30.0	1.0	1.0	0.0	0.0	1.0	
342	28.0	1.0	1.0	0.0	1.0	0.0	
343	30.0	1.0	1.0	0.0	0.0	1.0	
344	28.0	1.0	1.0	0.0	1.0	0.0	
345	28.0	1.0	1.0	1.0	0.0	0.0	
346	28.0	1.0	1.0	1.0	0.0	0.0	
347	28.0	1.0	1.0	1.0	0.0	0.0	
348	28.0	1.0	1.0	0.0	1.0	0.0	
349	30.0	1.0	1.0	0.0	0.0	1.0	
350	28.0	1.0	1.0	1.0	0.0	0.0	
351	28.0	1.0	1.0	1.0	0.0	0.0	
352	30.0	1.0	1.0	0.0	0.0	1.0	
353	30.0	1.0	1.0	0.0	0.0	1.0	
354	30.0	1.0	1.0	0.0	0.0	1.0	
355	30.0	1.0	1.0	0.0	0.0	1.0	
356	30.0	1.0	1.0	0.0	0.0	1.0	
357	28.0	1.0	1.0	0.0	1.0	0.0	
358	30.0	1.0	1.0	0.0	0.0	1.0	
359	30.0	1.0	1.0	0.0	0.0	1.0	
360	30.0	1.0	1.0	0.0	0.0	1.0	
361	30.0	1.0	1.0	0.0	0.0	1.0	
362	28.0	1.0	1.0	0.0	1.0	0.0	
363	28.0	1.0	1.0	0.0	1.0	0.0	
364	28.0	1.0	1.0	0.0	1.0	0.0	
365	28.0	1.0	1.0	0.0	1.0	0.0	
366	30.0	1.0	1.0	0.0	0.0	1.0	
367	30.0	1.0	1.0	0.0	0.0	1.0	
368	30.0	1.0	1.0	0.0	0.0	1.0	
369	28.0	1.0	1.0	0.0	1.0	0.0	
