Sample	cat16-41.trees	cat16-41.sequence09_sequence10	cat16-41.sequence16_sequence09	cat16-41.sequence16_sequence10	
498	28.0	0.0	0.0	1.0	
499	30.0	0.0	1.0	0.0	
500	28.0	1.0	0.0	0.0	
501	28.0	0.0	0.0	1.0	
502	28.0	1.0	0.0	0.0	
503	28.0	0.0	0.0	1.0	
504	28.0	1.0	0.0	0.0	
505	28.0	0.0	0.0	1.0	
506	28.0	0.0	0.0	1.0	
507	28.0	1.0	0.0	0.0	
508	28.0	0.0	0.0	1.0	
509	28.0	1.0	0.0	0.0	
510	30.0	0.0	1.0	0.0	
511	28.0	1.0	0.0	0.0	
512	28.0	1.0	0.0	0.0	
513	28.0	0.0	0.0	1.0	
514	28.0	0.0	0.0	1.0	
515	28.0	1.0	0.0	0.0	
516	28.0	1.0	0.0	0.0	
517	28.0	1.0	0.0	0.0	
518	28.0	1.0	0.0	0.0	
519	28.0	1.0	0.0	0.0	
520	28.0	1.0	0.0	0.0	
521	28.0	0.0	0.0	1.0	
522	30.0	0.0	1.0	0.0	
523	28.0	1.0	0.0	0.0	
524	28.0	0.0	0.0	1.0	
525	28.0	0.0	0.0	1.0	
526	28.0	0.0	0.0	1.0	
527	28.0	1.0	0.0	0.0	
528	28.0	0.0	0.0	1.0	
529	30.0	0.0	1.0	0.0	
530	28.0	0.0	0.0	1.0	
531	28.0	0.0	0.0	1.0	
532	28.0	1.0	0.0	0.0	
533	28.0	1.0	0.0	0.0	
534	30.0	0.0	1.0	0.0	
535	28.0	1.0	0.0	0.0	
536	28.0	0.0	0.0	1.0	
537	28.0	0.0	0.0	1.0	
538	28.0	0.0	0.0	1.0	
539	28.0	0.0	0.0	1.0	
540	28.0	1.0	0.0	0.0	
541	28.0	0.0	0.0	1.0	
542	28.0	0.0	0.0	1.0	
543	30.0	0.0	1.0	0.0	
544	28.0	1.0	0.0	0.0	
545	28.0	0.0	0.0	1.0	
546	28.0	0.0	0.0	1.0	
547	28.0	0.0	0.0	1.0	
548	28.0	1.0	0.0	0.0	
549	28.0	0.0	0.0	1.0	
550	28.0	0.0	0.0	1.0	
551	28.0	1.0	0.0	0.0	
552	28.0	0.0	0.0	1.0	
553	28.0	0.0	0.0	1.0	
554	28.0	1.0	0.0	0.0	
555	30.0	0.0	1.0	0.0	
556	30.0	0.0	1.0	0.0	
557	28.0	1.0	0.0	0.0	
558	30.0	0.0	1.0	0.0	
559	28.0	1.0	0.0	0.0	
560	28.0	1.0	0.0	0.0	
561	28.0	0.0	0.0	1.0	
562	28.0	0.0	0.0	1.0	
563	28.0	1.0	0.0	0.0	
564	28.0	1.0	0.0	0.0	
565	30.0	0.0	1.0	0.0	
566	28.0	0.0	0.0	1.0	
567	30.0	0.0	1.0	0.0	
568	28.0	1.0	0.0	0.0	
569	30.0	0.0	1.0	0.0	
570	28.0	0.0	0.0	1.0	
571	28.0	0.0	0.0	1.0	
572	28.0	1.0	0.0	0.0	
573	28.0	1.0	0.0	0.0	
574	30.0	0.0	1.0	0.0	
575	28.0	0.0	0.0	1.0	
576	28.0	0.0	0.0	1.0	
577	28.0	0.0	0.0	1.0	
578	28.0	1.0	0.0	0.0	
579	30.0	0.0	1.0	0.0	
580	30.0	0.0	1.0	0.0	
581	28.0	1.0	0.0	0.0	
582	28.0	0.0	0.0	1.0	
583	28.0	1.0	0.0	0.0	
584	28.0	0.0	0.0	1.0	
585	30.0	0.0	1.0	0.0	
586	28.0	1.0	0.0	0.0	
587	28.0	0.0	0.0	1.0	
588	28.0	1.0	0.0	0.0	
