Sample	cat16-52.trees	cat16-52.sequence04_sequence12	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence11_sequence13_sequence02_sequence06_sequence08	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
153	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
154	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
155	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
156	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
157	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
158	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
159	28.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
160	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
161	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
162	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
163	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
164	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
165	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
166	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
167	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
168	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
169	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
170	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
171	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
172	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
173	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
174	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
175	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
176	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
177	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
178	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
179	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
180	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
181	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
182	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
183	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
184	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
185	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
186	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
187	28.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
188	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
189	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
190	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
191	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
192	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
193	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
194	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
195	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
196	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
197	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
198	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
199	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
200	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
201	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
202	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
203	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
204	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
205	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
206	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
207	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
208	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
209	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
210	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
211	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
212	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	
213	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
214	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
215	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
216	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
217	26.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
218	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
219	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
220	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
221	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
222	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
223	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
224	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
225	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
226	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
227	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
228	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
229	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
230	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
231	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	
