Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence10_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	
203	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
204	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
205	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
206	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
207	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
208	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
209	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
210	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
211	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
212	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
213	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
214	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
215	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
216	26.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
217	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
218	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
219	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
220	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
221	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
222	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
223	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
224	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
225	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
226	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
227	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
228	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
229	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
230	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
231	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
232	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
233	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
234	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
235	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
236	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
237	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
238	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
239	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
240	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
241	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
242	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
243	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
244	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
245	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
246	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
247	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
248	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
249	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
250	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
251	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
252	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
253	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
254	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
255	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
256	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
257	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
258	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
259	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
260	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
261	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
262	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
263	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
264	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
